ecoregion species DOMpool DecayRate AmountT0 Q10
415_2 TSUG.CAN 3 0.1435 21.905 2
415_2 TSUG.CAN 4 0.1435 14.429 2
415_2 TSUG.CAN 5 0.0374 6.065 2
415_2 TSUG.CAN 6 0.015 192.998 2.65
415_2 TSUG.CAN 7 0.0033 579.716 1
415_2 TSUG.CAN 8 0.0187 3.203 2
415_2 TSUG.CAN 9 0.0718 1.971 2
415_2 TSUG.CAN 10 0.0001 0.0001 2
415_3 ABIE.BAL 1 0.355 6.0522 2.65
415_3 ABIE.BAL 2 0.5 2.8273 2
415_3 ABIE.BAL 3 0.1435 2.0995 2
415_3 ABIE.BAL 4 0.1435 2.0988 2
415_3 ABIE.BAL 5 0.0374 0.0411 2
415_3 ABIE.BAL 6 0.015 32.3149 2.65
415_3 ABIE.BAL 7 0.0033 152.0785 1
415_3 ABIE.BAL 8 0.0187 0.0072 2
415_3 ABIE.BAL 9 0.0718 0.0001 2
415_3 ABIE.BAL 10 0.0001 0.0001 2
415_3 ACER.RUB 1 0.355 52.068 2.65
415_3 ACER.RUB 2 0.5 25.726 2
415_3 ACER.RUB 3 0.1435 18.074 2
415_3 ACER.RUB 4 0.1435 17.8097 2
415_3 ACER.RUB 5 0.0374 0.0001 2
415_3 ACER.RUB 6 0.015 210.3817 2.65
415_3 ACER.RUB 7 0.0033 879.7997 1
415_3 ACER.RUB 8 0.0187 0.0001 2
415_3 ACER.RUB 9 0.0718 0.0001 2
415_3 ACER.RUB 10 0.0001 0.0001 2
415_3 ACER.SAH 1 0.355 0.029 2.65
415_3 ACER.SAH 2 0.5 0.0001 2
415_3 ACER.SAH 3 0.1435 0.455 2
415_3 ACER.SAH 4 0.1435 0.415 2
415_3 ACER.SAH 5 0.0374 0.0001 2
415_3 ACER.SAH 6 0.015 55.581 2.65
415_3 ACER.SAH 7 0.0033 273.95 1
415_3 ACER.SAH 8 0.0187 0.0001 2
415_3 ACER.SAH 9 0.0718 0.0001 2
415_3 ACER.SAH 10 0.0001 0.0001 2
415_3 BETU.ALL 1 0.355 0.0001 2.65
415_3 BETU.ALL 2 0.5 0.0001 2
415_3 BETU.ALL 3 0.1435 0.0001 2
415_3 BETU.ALL 4 0.1435 0.0001 2
415_3 BETU.ALL 5 0.0374 0.0001 2
415_3 BETU.ALL 6 0.015 0.0001 2.65
415_3 BETU.ALL 7 0.0033 0.0001 1
415_3 BETU.ALL 8 0.0187 0.0001 2
415_3 BETU.ALL 9 0.0718 0.0001 2
415_3 BETU.ALL 10 0.0001 0.0001 2
415_3 BETU.PAP 1 0.355 35.6798 2.65
415_3 BETU.PAP 2 0.5 17.5935 2
415_3 BETU.PAP 3 0.1435 12.4094 2
415_3 BETU.PAP 4 0.1435 12.3311 2
415_3 BETU.PAP 5 0.0374 0.0001 2
415_3 BETU.PAP 6 0.015 156.3763 2.65
415_3 BETU.PAP 7 0.0033 732.3202 1
415_3 BETU.PAP 8 0.0187 0.0001 2
415_3 BETU.PAP 9 0.0718 0.0005 2
415_3 BETU.PAP 10 0.0001 0.0001 2
415_3 FAGU.GRA 1 0.355 0.0001 2.65
415_3 FAGU.GRA 2 0.5 0.0001 2
415_3 FAGU.GRA 3 0.1435 0.0001 2
415_3 FAGU.GRA 4 0.1435 0.0001 2
415_3 FAGU.GRA 5 0.0374 0.0001 2
415_3 FAGU.GRA 6 0.015 0.0001 2.65
415_3 FAGU.GRA 7 0.0033 0.0001 1
415_3 FAGU.GRA 8 0.0187 0.0001 2
415_3 FAGU.GRA 9 0.0718 0.0001 2
415_3 FAGU.GRA 10 0.0001 0.0001 2
415_3 LARI.LAR 1 0.355 0.0001 2.65
415_3 LARI.LAR 2 0.5 0.0001 2
415_3 LARI.LAR 3 0.1435 0.0001 2
415_3 LARI.LAR 4 0.1435 0.0001 2
415_3 LARI.LAR 5 0.0374 0.0001 2
415_3 LARI.LAR 6 0.015 0.0001 2.65
415_3 LARI.LAR 7 0.0033 0.0001 1
415_3 LARI.LAR 8 0.0187 0.0001 2
415_3 LARI.LAR 9 0.0718 0.0001 2
415_3 LARI.LAR 10 0.0001 0.0001 2
415_3 PICE.GLA 1 0.355 290.1939 2.65
415_3 PICE.GLA 2 0.5 85.0301 2
415_3 PICE.GLA 3 0.1435 371.1209 2
415_3 PICE.GLA 4 0.1435 63.7246 2
415_3 PICE.GLA 5 0.0374 861.5884 2
415_3 PICE.GLA 6 0.015 2484.0456 2.65
415_3 PICE.GLA 7 0.0033 6473.0756 1
415_3 PICE.GLA 8 0.0187 716.6694 2
415_3 PICE.GLA 9 0.0718 167.2867 2
415_3 PICE.GLA 10 0.0001 0.0001 2
415_3 PICE.MAR 1 0.355 153.7422 2.65
415_3 PICE.MAR 2 0.5 56.0241 2
415_3 PICE.MAR 3 0.1435 174.5629 2
415_3 PICE.MAR 4 0.1435 42.803 2
415_3 PICE.MAR 5 0.0374 303.7667 2
415_3 PICE.MAR 6 0.015 1210.2753 2.65
415_3 PICE.MAR 7 0.0033 3488.4805 1
415_3 PICE.MAR 8 0.0187 242.4769 2
415_3 PICE.MAR 9 0.0718 63.8349 2
415_3 PICE.MAR 10 0.0001 0.0001 2
415_3 PICE.RUB 1 0.355 19.8876 2.65
415_3 PICE.RUB 2 0.5 9.741 2
415_3 PICE.RUB 3 0.1435 6.6236 2
415_3 PICE.RUB 4 0.1435 6.575 2
415_3 PICE.RUB 5 0.0374 0.6008 2
415_3 PICE.RUB 6 0.015 75.7664 2.65
415_3 PICE.RUB 7 0.0033 346.1198 1
415_3 PICE.RUB 8 0.0187 0.136 2
415_3 PICE.RUB 9 0.0718 0.0008 2
415_3 PICE.RUB 10 0.0001 0.0001 2
415_3 PINU.BAN 1 0.355 178.517 2.65
415_3 PINU.BAN 2 0.5 76.0019 2
415_3 PINU.BAN 3 0.1435 146.7771 2
415_3 PINU.BAN 4 0.1435 53.5805 2
415_3 PINU.BAN 5 0.0374 244.332 2
415_3 PINU.BAN 6 0.015 1228.9354 2.65
415_3 PINU.BAN 7 0.0033 3716.2789 1
415_3 PINU.BAN 8 0.0187 167.4761 2
415_3 PINU.BAN 9 0.0718 43.1826 2
415_3 PINU.BAN 10 0.0001 0.0001 2
415_3 PINU.RES 1 0.355 0.0001 2.65
415_3 PINU.RES 2 0.5 0.0001 2
415_3 PINU.RES 3 0.1435 0.0001 2
415_3 PINU.RES 4 0.1435 0.0001 2
415_3 PINU.RES 5 0.0374 0.0001 2
415_3 PINU.RES 6 0.015 0.0001 2.65
415_3 PINU.RES 7 0.0033 0.0001 1
